Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Galio,Tank,MID,A,49.98,-3.53,51.43%,74.91%,2.20%,0.37%,2.7
Galio,Tank,SUPPORT,D,34.34,2.17,48.62%,18.34%,0.49%,0.37%,2.22
Gangplank,Fighter,TOP,S,57.96,-7.15,48.26%,77.20%,5.68%,8.41%,2
Gangplank,Fighter,MID,B,41.94,0.21,49.46%,21.63%,1.70%,8.41%,2.2
Garen,Fighter,TOP,S,63.65,-1.61,50.40%,84.11%,6.25%,2.95%,2.04
Gnar,Fighter,TOP,A,48.98,-5.4,47.76%,96.97%,4.40%,1.42%,1.89
Gragas,Fighter,MID,B,46.39,1.54,52.47%,15.36%,0.77%,0.67%,2.57
Gragas,Fighter,TOP,B,46.3,-0.36,48.88%,55.18%,2.89%,0.73%,2.12
Gragas,Fighter,JUNGLE,D,34.94,1.82,49.28%,21.28%,1.00%,0.67%,2.86
Gragas,Fighter,SUPPORT,D,26.23,0,44.55%,10.15%,0.46%,0.73%,2.11
Graves,Marksman,JUNGLE,A,55.56,-1.53,49.61%,87.29%,6.06%,3.63%,2.66
Gwen,Fighter,TOP,B,42.86,-16.44,46.60%,88.74%,3.77%,2.60%,1.69
Hecarim,Fighter,JUNGLE,B,45.57,1.64,49.31%,98.41%,3.48%,1.30%,2.96
Heimerdinger,Mage,MID,B,45.27,-5.77,51.84%,42.00%,1.61%,2.25%,2.05
Heimerdinger,Mage,ADC,B,42.43,7.57,56.38%,14.32%,0.47%,2.25%,2.37
Heimerdinger,Mage,SUPPORT,C,40.42,1.15,52.21%,16.52%,0.60%,2.25%,2
Heimerdinger,Mage,TOP,C,38.38,-2.98,50.43%,24.78%,0.85%,2.25%,1.69
Illaoi,Fighter,TOP,A,50.15,-2.81,50.69%,93.19%,3.65%,6.22%,1.44
Irelia,Fighter,TOP,A,51.21,-7.93,47.51%,53.27%,4.69%,15.88%,1.59
Irelia,Fighter,MID,A,48.18,-3.37,48.50%,44.98%,4.11%,15.88%,1.77
Ivern,Support,SUPPORT,D,31.27,-2.62,46.70%,15.11%,0.19%,0.38%,2.56
Ivern,Support,JUNGLE,D,30.07,-2.74,46.38%,74.05%,1.12%,0.38%,3.06
Janna,Support,SUPPORT,S,61.87,2.92,52.94%,98.32%,5.86%,1.67%,3.26
Jarvan IV,Tank,JUNGLE,A,52.87,0.73,51.87%,85.09%,3.43%,0.32%,3.32
Jax,Fighter,TOP,S,59.99,-0.97,50.34%,83.81%,5.64%,8.01%,1.67
Jax,Fighter,JUNGLE,D,31.57,3.05,49.51%,14.25%,0.97%,7.64%,2.15
Jayce,Fighter,TOP,C,38.65,0.46,48.41%,79.86%,1.83%,0.31%,1.77
Jayce,Fighter,MID,D,33.78,-3.46,48.07%,18.79%,0.43%,0.32%,2.14
Jhin,Marksman,ADC,God,71.45,-2.73,50.57%,97.11%,13.75%,3.29%,3.01
Jinx,Marksman,ADC,A,48.78,-1.13,49.72%,98.11%,8.22%,0.77%,2.25
Kai'Sa,Marksman,ADC,S,58.9,-4.42,49.02%,96.27%,11.98%,1.78%,2.42
Kalista,Marksman,ADC,B,42.6,-6.64,49.23%,92.88%,5.65%,6.46%,2.33
Karma,Mage,SUPPORT,S,58.39,1.05,49.79%,86.39%,7.38%,1.65%,2.77
Karthus,Mage,JUNGLE,C,36.99,0.65,48.25%,55.91%,2.43%,2.73%,2.57
Karthus,Mage,MID,C,36.92,-6.53,49.04%,12.79%,0.57%,2.73%,2.25
Karthus,Mage,ADC,D,35.91,3.97,52.82%,19.64%,0.98%,2.73%,2.28
Kassadin,Assassin,MID,A,51.21,-1.9,50.50%,96.27%,3.18%,8.16%,2.45
